Gene	WT_H9_batch00_day00-4	WT_H9_batch00_day00-5	WT_H9_batch00_day00-6	Average
ACTB	243.5523946	304.2034768	261.5428991	269.7662568
ACTN4	321.9490881	443.2028183	249.4859569	338.2126211
CD151	62.71735483	54.68826549	62.13962495	59.84841509
CD74	49.12859462	39.87686026	35.24336938	41.41627475
CHD4	214.2842957	205.0809956	237.4290148	218.9314353
CNN2	686.7550354	715.5048069	582.4430518	661.5676314
ESRRB	1.045289247	4.557355458	NA	1.867548235
GAPDH	6167.206559	4992.582904	4091.013219	5083.600894
GBX2	4.181156989	9.114710916	NA	4.431955968
KLF2	NA	1.139338864	NA	0.379779621
KLF5	5.226446236	6.836033187	0.927457089	4.329978837
MBD3	88.84958601	67.220993	109.4399365	88.50350517
MLH1	84.66842902	46.71289344	56.57488242	62.6520683
MYH10	219.5107419	190.2695904	188.273789	199.3513738
NANOG	93.030743	108.2371921	87.18096635	96.14963383
NODAL	9.407603225	2.278677729	3.709828356	5.132036436
NOP14	90.94016451	56.96694322	91.8182518	79.90845318
PGK1	571.7732182	822.6026601	968.2652008	787.5470264
POLA1	79.44198279	48.99157117	73.26911002	67.23422133
POU5F1	526.8257806	522.9565388	421.0655184	490.2826126
RPL3	27.17752043	33.04082707	39.88065482	33.36633411
SALL4	246.6882623	270.0233109	224.4446155	247.0520629
SOX12	229.9636344	197.1056235	191.9836174	206.3509584
SOX2	1260.618832	1127.945476	797.6130964	1062.059135
STAT3	85.71371827	61.52429868	56.57488242	67.93763312
TCF3	399.3004924	277.9986829	359.8533505	345.7175086
TFCP2L1	19.8604957	17.09008297	7.419656711	14.79007846
TUBB2B	1271.071725	1260.108784	1667.567846	1399.582785
XYLT2	36.58512365	18.22942183	34.31591229	29.71015259
ZFP42	127.5252882	183.4335572	187.346332	166.1017258
