bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_well,bc2_well,bc3_well,bc1_wind,bc2_wind,bc3_wind
01_01_02,AC161,hg38,11,11,13,A1,A1,A2,1,1,2
01_01_05,AC161,hg38,15,15,20,A1,A1,A5,1,1,5
01_01_10,AC161,hg38,92,94,119,A1,A1,A10,1,1,10
01_01_13,AC161,hg38,12,12,13,A1,A1,B1,1,1,13
01_01_17,AC161,hg38,128,132,164,A1,A1,B5,1,1,17
01_01_19,AC161,hg38,14,14,18,A1,A1,B7,1,1,19
01_01_27,AC161,hg38,140,148,177,A1,A1,C3,1,1,27
01_01_36,AC161,hg38,14,14,20,A1,A1,C12,1,1,36
01_01_41,AC161,hg38,263,275,357,A1,A1,D5,1,1,41
01_01_46,AC161,hg38,11,11,13,A1,A1,D10,1,1,46
01_01_51,AC161,hg38,112,113,144,A1,A1,E3,1,1,51
01_01_52,AC161,hg38,10,10,13,A1,A1,E4,1,1,52
01_01_56,AC161,hg38,10,10,11,A1,A1,E8,1,1,56
01_01_66,AC161,hg38,10,10,19,A1,A1,F6,1,1,66
01_01_70,AC161,hg38,10,10,12,A1,A1,F10,1,1,70
01_01_72,AC161,hg38,13,14,22,A1,A1,F12,1,1,72
01_01_73,AC161,hg38,72,73,87,A1,A1,G1,1,1,73
01_01_77,AC161,hg38,98,103,133,A1,A1,G5,1,1,77
01_01_80,AC161,hg38,9,10,13,A1,A1,G8,1,1,80
01_01_86,AC161,hg38,10,10,12,A1,A1,H2,1,1,86
01_01_87,AC161,hg38,112,118,141,A1,A1,H3,1,1,87
01_01_89,AC161,hg38,10,11,12,A1,A1,H5,1,1,89
01_02_02,AC161,hg38,14,14,17,A1,A2,A2,1,2,2
01_02_03,AC161,hg38,14,14,18,A1,A2,A3,1,2,3
01_02_04,AC161,hg38,16,16,21,A1,A2,A4,1,2,4
01_02_05,AC161,hg38,16,16,19,A1,A2,A5,1,2,5
01_02_06,AC161,hg38,19,19,24,A1,A2,A6,1,2,6
01_02_08,AC161,hg38,16,16,22,A1,A2,A8,1,2,8
01_02_09,AC161,hg38,418,461,588,A1,A2,A9,1,2,9
01_02_10,AC161,hg38,10,10,12,A1,A2,A10,1,2,10
01_02_12,AC161,hg38,11,11,11,A1,A2,A12,1,2,12
01_02_13,AC161,hg38,30,30,39,A1,A2,B1,1,2,13
01_02_14,AC161,hg38,18,18,23,A1,A2,B2,1,2,14
01_02_15,AC161,hg38,24,24,31,A1,A2,B3,1,2,15
01_02_16,AC161,hg38,16,17,18,A1,A2,B4,1,2,16
01_02_18,AC161,hg38,19,20,22,A1,A2,B6,1,2,18
01_02_19,AC161,hg38,284,306,384,A1,A2,B7,1,2,19
01_02_21,AC161,hg38,14,15,22,A1,A2,B9,1,2,21
