seqnames	start	end	width	strand	ID	Start_Amp	End_Amp	Gene
chr1	2556520	2556779	260	*	AMPL879824	1	260	TNFRSF14
chr1	2558411	2558678	268	*	AMPL879825	1	268	TNFRSF14
chr1	2559658	2559904	247	*	AMPL879826	1	247	TNFRSF14
chr1	2561725	2561917	193	*	AMPL879827	1	193	TNFRSF14
chr1	38859399	38859588	190	*	AMPL879828	1	190	RRAGC
chr1	149885945	149886164	220	*	AMPL879829	1	220	HIST2H2BE
chr1	149886166	149886370	205	*	AMPL879830	1	205	HIST2H2BE
chr1	203305534	203305752	219	*	AMPL879831	1	219	BTG2
chr2	88885204	88885441	238	*	AMPL879832	1	238	IGKV4-1
chr2	88947807	88948031	225	*	AMPL879833	1	225	IGKV1-5
chr2	89143774	89144000	227	*	AMPL879834	1	227	IGKV3-20
chr3	177034126	177034331	206	*	AMPL879835	1	206	TBL1XR1
chr3	187722151	187722371	221	*	AMPL879836	1	221	BCL6
chr3	187745819	187746053	235	*	AMPL879837	1	235	BCL6
chr3	187746062	187746266	205	*	AMPL879838	1	205	BCL6
chr5	124744484	124744688	205	*	AMPL879839	1	205	ZNF608
chr5	158839972	158840205	234	*	AMPL879840	1	234	EBF1
chr6	26056030	26056261	232	*	AMPL879841	1	232	HIST1H1C
chr6	26123491	26123725	235	*	AMPL879842	1	235	HIST1H2BC
chr6	26156515	26156710	196	*	AMPL879843	1	196	HIST1H1E
chr6	26156844	26157091	248	*	AMPL879844	1	248	HIST1H1E
chr6	26234475	26234729	255	*	AMPL879845	1	255	HIST1H1D
chr6	26272849	26273050	202	*	AMPL879846	1	202	HIST1H2BI
chr6	27867051	27867281	231	*	AMPL879847	1	231	HIST1H1B
chr6	27893152	27893392	241	*	AMPL879848	1	241	HIST1H2BO
chr6	37170980	37171213	234	*	AMPL879849	1	234	PIM1
chr8	127734568	127734792	225	*	AMPL879850	1	225	MYC
chr8	127736465	127736700	236	*	AMPL879851	1	236	MYC
chr9	37033818	37034061	244	*	AMPL879852	1	244	PAX5
chr11	108307760	108307967	208	*	AMPL879853	1	208	ATM
chr11	111379226	111379452	227	*	AMPL879854	1	227	POU2AF1
chr11	128521921	128522134	214	*	AMPL879855	1	214	ETS1
chr12	6957926	6958145	220	*	AMPL879856	1	220	PTPN6
chr12	49032192	49032423	232	*	AMPL879857	1	232	KMT2D
chr12	49037081	49037328	248	*	AMPL879858	1	248	KMT2D
chr12	49040456	49040699	244	*	AMPL879859	1	244	KMT2D
chr12	113058029	113058296	268	*	AMPL879860	1	268	DTX1
chr14	105647462	105647651	190	*	AMPL879861	1	190	IGHG2
chr14	105647747	105647939	193	*	AMPL879862	1	193	IGHG2
chr14	105743499	105743741	243	*	AMPL879863	1	243	IGHG1
chr14	105746269	105746534	266	*	AMPL879864	1	266	IGHG1
chr14	105746549	105746755	207	*	AMPL879865	1	207	IGHG1
chr14	105746927	105747118	192	*	AMPL879866	1	192	IGHG1
chr14	105773530	105773775	246	*	AMPL879867	1	246	IGHG3
chr14	105774492	105774694	203	*	AMPL879868	1	203	IGHG3
chr14	105856478	105856732	255	*	AMPL879869	1	255	IGHM
chr14	105856797	105856993	197	*	AMPL879870	1	197	IGHM
chr14	105860093	105860284	192	*	AMPL879871	1	192	IGHM
chr14	106038416	106038620	205	*	AMPL879872	1	205	IGHV2-5
chr14	106235508	106235747	240	*	AMPL879873	1	240	IGHV3-21
chr14	106269542	106269748	207	*	AMPL879874	1	207	IGHV3-23
chr14	106349843	106350052	210	*	AMPL879875	1	210	IGHV4-31
chr14	106350241	106350500	260	*	AMPL879876	1	260	IGHV4-31
chr14	106374529	106374745	217	*	AMPL879877	1	217	IGHV4-34
chr14	106377300	106377531	232	*	AMPL879878	1	232	IGHV4-34
chr14	106390380	106390584	205	*	AMPL879879	1	205	IGHV3-35
