target,chr,start,end,bases_covered,bases_missed,coverage_perc
chr1:1079876-1079877,chr1,1079876,1079877,2,0,100.0
chr1:1375543-1375544,chr1,1375543,1375544,2,0,100.0
chr1:5717879-5717880,chr1,5717879,5717880,2,0,100.0
chr1:6240443-6240444,chr1,6240443,6240444,2,0,100.0
chr1:9461834-9461835,chr1,9461834,9461835,2,0,100.0
chr1:9835943-9835944,chr1,9835943,9835944,2,0,100.0
chr1:9836003-9836004,chr1,9836003,9836004,2,0,100.0
chr1:16012817-16012818,chr1,16012817,16012818,2,0,100.0
chr1:16678274-16678275,chr1,16678274,16678275,2,0,100.0
chr1:19010046-19010047,chr1,19010046,19010047,2,0,100.0
chr1:19011399-19011400,chr1,19011399,19011400,2,0,100.0
chr1:22262642-22262643,chr1,22262642,22262643,2,0,100.0
chr1:22412674-22412675,chr1,22412674,22412675,2,0,100.0
chr1:30719280-30719281,chr1,30719280,30719281,2,0,100.0
chr1:30719456-30719457,chr1,30719456,30719457,2,0,100.0
chr1:36401277-36401278,chr1,36401277,36401278,2,0,100.0
chr1:43510101-43510102,chr1,43510101,43510102,2,0,100.0
chr1:44730954-44730955,chr1,44730954,44730955,2,0,100.0
chr1:44731045-44731046,chr1,44731045,44731046,2,0,100.0
chr1:50333501-50333502,chr1,50333501,50333502,2,0,100.0
chr1:50423582-50423583,chr1,50423582,50423583,2,0,100.0
chr1:53431064-53431065,chr1,53431064,53431065,2,0,100.0
chr1:54488281-54488282,chr1,54488281,54488282,2,0,100.0
chr1:58590932-58590933,chr1,58590932,58590933,2,0,100.0
chr1:63319760-63319761,chr1,63319760,63319761,2,0,100.0
chr1:78491755-78491756,chr1,78491755,78491756,2,0,100.0
chr1:94927827-94927828,chr1,94927827,94927828,2,0,100.0
chr1:95142874-95142875,chr1,95142874,95142875,2,0,100.0
chr1:99850015-99850016,chr1,99850015,99850016,0,2,0.0
chr1:101996889-101996890,chr1,101996889,101996890,2,0,100.0
chr1:114037553-114037554,chr1,114037553,114037554,2,0,100.0
chr1:151510071-151510072,chr1,151510071,151510072,2,0,100.0
chr1:155070959-155070960,chr1,155070959,155070960,2,0,100.0
chr1:155173322-155173323,chr1,155173322,155173323,2,0,100.0
chr1:155227670-155227671,chr1,155227670,155227671,2,0,100.0
chr1:155227810-155227811,chr1,155227810,155227811,2,0,100.0
chr1:156692966-156692967,chr1,156692966,156692967,2,0,100.0
chr1:156693332-156693333,chr1,156693332,156693333,2,0,100.0
chr1:156693485-156693486,chr1,156693485,156693486,2,0,100.0
chr1:156706760-156706761,chr1,156706760,156706761,2,0,100.0
chr1:156707876-156707877,chr1,156707876,156707877,2,0,100.0
chr1:156708498-156708499,chr1,156708498,156708499,2,0,100.0
chr1:160193718-160193719,chr1,160193718,160193719,2,0,100.0
chr1:165236250-165236251,chr1,165236250,165236251,2,0,100.0
chr1:165630620-165630621,chr1,165630620,165630621,2,0,100.0
chr1:165631029-165631030,chr1,165631029,165631030,2,0,100.0
chr1:196991942-196991943,chr1,196991942,196991943,2,0,100.0
chr1:197911642-197911643,chr1,197911642,197911643,2,0,100.0
chr1:199808201-199808202,chr1,199808201,199808202,2,0,100.0
chr1:200488542-200488543,chr1,200488542,200488543,2,0,100.0
chr1:203487910-203487911,chr1,203487910,203487911,2,0,100.0
chr1:204507232-204507233,chr1,204507232,204507233,2,0,100.0
chr1:205122298-205122299,chr1,205122298,205122299,2,0,100.0
chr1:207321070-207321071,chr1,207321070,207321071,2,0,100.0
chr1:209567142-209567143,chr1,209567142,209567143,2,0,100.0
chr1:212915444-212915445,chr1,212915444,212915445,2,0,100.0
chr1:220786794-220786795,chr1,220786794,220786795,2,0,100.0
chr1:221742290-221742291,chr1,221742290,221742291,2,0,100.0
chr1:223022926-223022927,chr1,223022926,223022927,2,0,100.0
chr1:223143343-223143344,chr1,223143343,223143344,2,0,100.0
chr1:226083588-226083589,chr1,226083588,226083589,2,0,100.0
chr1:226520779-226520780,chr1,226520779,226520780,2,0,100.0
chr1:237032218-237032219,chr1,237032218,237032219,2,0,100.0
chr1:244353935-244353936,chr1,244353935,244353936,2,0,100.0
chr1:248873907-248873908,chr1,248873907,248873908,2,0,100.0
chr1:248873965-248873966,chr1,248873965,248873966,2,0,100.0
chr2:290348-290349,chr2,290348,290349,2,0,100.0
chr2:893401-893402,chr2,893401,893402,2,0,100.0
chr2:3652326-3652327,chr2,3652326,3652327,2,0,100.0
chr2:5725814-5725815,chr2,5725814,5725815,2,0,100.0
chr2:7431126-7431127,chr2,7431126,7431127,2,0,100.0
chr2:12097121-12097122,chr2,12097121,12097122,2,0,100.0
chr2:21890183-21890184,chr2,21890183,21890184,2,0,100.0
chr2:41953835-41953836,chr2,41953835,41953836,2,0,100.0
chr2:42133063-42133064,chr2,42133063,42133064,2,0,100.0
chr2:45014684-45014685,chr2,45014684,45014685,2,0,100.0
chr2:45170450-45170451,chr2,45170450,45170451,2,0,100.0
chr2:45170596-45170597,chr2,45170596,45170597,2,0,100.0
chr2:47402758-47402759,chr2,47402758,47402759,2,0,100.0
chr2:58596634-58596635,chr2,58596634,58596635,2,0,100.0
chr2:59910494-59910495,chr2,59910494,59910495,2,0,100.0
chr2:62296092-62296093,chr2,62296092,62296093,2,0,100.0
chr2:64228539-64228540,chr2,64228539,64228540,2,0,100.0
chr2:69829289-69829290,chr2,69829289,69829290,2,0,100.0
chr2:70329204-70329205,chr2,70329204,70329205,2,0,100.0
chr2:75374722-75374723,chr2,75374722,75374723,2,0,100.0
