ID	GENE	pert_chr	pert_start	pert_end	TSS_dCas9_prediction	Strand of target	Distance	Distance_stranded
1_CROP_AIF1L_dCas9	AIF1L	chr9	131096535	131096536	131096532	+	3	3
2_CROP_ANXA5_dCas9	ANXA5	chr4	121696959	121696960	121696980	-	-21	21
3_CROP_ATP1B1_dCas9	ATP1B1	chr1	169106751	169106752	169106691	+	60	60
4_CROP_CARM1_dCas9	CARM1	chr19	10871781	10871782	10871554	+	227	227
5_CROP_CNN2_dCas9	CNN2	chr19	1026695	1026696	1026609	+	86	86
6_CROP_COL18A1_dCas9	COL18A1	chr21	45405181	45405182	45405166	+	15	15
7_CROP_CPNE1_dCas9	CPNE1	chr20	35664662	35664663	35664900	-	-238	238
8_CROP_EMC4_dCas9	EMC4	chr15	34225049	34225050	34225017	+	32	32
9_CROP_EPB41L2_dCas9	EPB41L2	chr6	131063201	131063202	131063245	-	-44	44
10_CROP_GOT2_dCas9	GOT2	chr16	58734290	58734291	58734316	-	-26	26
11_CROP_GULP1_dCas9	GULP1	chr2	188291937	188291938	188291875	+	62	62
12_CROP_LTA4H_dCas9	LTA4H	chr12	96035516	96035517	96035587	-	-71	71
13_CROP_PDLIM1_dCas9	PDLIM1	chr10	95290977	95290978	95291003	-	-26	26
14_CROP_PSME2_dCas9	PSME2	chr14	24146539	24146540	24146610	-	-71	71
15_CROP_ROR1_dCas9	ROR1	chr1	63774029	63774030	63774018	+	11	11
16_CROP_RTN4_dCas9	RTN4	chr2	55050427	55050428	55050451	-	-24	24
17_CROP_SPINT2_dCas9	SPINT2	chr19	38264650	38264651	38264574	+	76	76
18_CROP_STAU1_dCas9	STAU1	chr20	49188139	49188140	49188334	-	-195	195
19_CROP_TSTD1_dCas9	TSTD1	chr1	161038886	161038887	161038964	-	-78	78
20_CROP_UBE2E1_dCas9	UBE2E1	chr3	23806017	23806018	23805956	+	61	61
21_CROP_YWHAB_dCas9	YWHAB	chr20	44885739	44885740	44885706	+	33	33
22_CROP_nC1_dCas9	nC1	NA	NA	NA	NA		NA	NA
23_CROP_nC2_dCas9	nC2	NA	NA	NA	NA		NA	NA
24_CROP_nC3_dCas9	nC3	NA	NA	NA	NA		NA	NA
25_CROP_nC4_dCas9	nC4	NA	NA	NA	NA		NA	NA
26_CROP_nC5_dCas9	nC5	NA	NA	NA	NA		NA	NA
27_CROP_nC6_dCas9	nC6	NA	NA	NA	NA		NA	NA
1_CROP_ANXA5_rs2306413_dCas9-pegRNA	ANXA5	chr4	121696337	121696338	121696980	-	-643	643
2_CROP_ATP1B1_rs10800424_dCas9-pegRNA	ATP1B1	chr1	169288185	169288186	169106691	+	181494	181494
3_CROP_CARM1_rs67987899_dCas9-pegRNA	CARM1	chr19	10856101	10856102	10871554	+	-15453	-15453
4_CROP_CNN2_rs4807440_dCas9-pegRNA	CNN2	chr19	1026477	1026478	1026609	+	-132	-132
5_CROP_COL18A1_rs78667666_dCas9-pegRNA	COL18A1	chr21	45407059	45407061	45405166	+	1893	1893
6_CROP_COL18A1_rs35205716_dCas9-pegRNA	COL18A1	chr21	45406896	45406897	45405166	+	1730	1730
7_CROP_CPNE1_rs2104417_dCas9-pegRNA	CPNE1	chr20	35540121	35540122	35664900	-	-124779	124779
8_CROP_CPNE1_rs73905926_dCas9-pegRNA	CPNE1	chr20	35664059	35664060	35664900	-	-841	841
9_CROP_CPNE1_rs6121020_dCas9-pegRNA	CPNE1	chr20	35664083	35664084	35664900	-	-817	817
10_CROP_CPNE1_rs2295355_dCas9-pegRNA	CPNE1	chr20	35664731	35664732	35664900	-	-169	169
11_CROP_EMC4_rs6495621_dCas9-pegRNA	EMC4	chr15	34210109	34210110	34225017	+	-14908	-14908
12_CROP_EPB41L2_rs3903759_dCas9-pegRNA	EPB41L2	chr6	131199853	131199854	131063245	-	136608	-136608
13_CROP_GOT2_rs11558171_dCas9-pegRNA	GOT2	chr16	58734224	58734225	58734316	-	-92	92
14_CROP_GOT2_rs727484_dCas9-pegRNA	GOT2	chr16	58756567	58756568	58734316	-	22251	-22251
15_CROP_GULP1_rs6712056_dCas9-pegRNA	GULP1	chr2	188303827	188303828	188291875	+	11952	11952
16_CROP_LTA4H_rs3834482_dCas9-pegRNA	LTA4H	chr12	96037760	96037761	96035587	-	2173	-2173
17_CROP_PDLIM1_rs10218877_dCas9-pegRNA	PDLIM1	chr10	95196238	95196239	95291003	-	-94765	94765
18_CROP_PSME2_rs2236352_dCas9-pegRNA	PSME2	chr14	24141523	24141524	24146610	-	-5087	5087
19_CROP_ROR1_rs7517350_dCas9-pegRNA	ROR1	chr1	63775268	63775269	63774018	+	1250	1250
20_CROP_RTN4_rs2968787_dCas9-pegRNA	RTN4	chr2	55038648	55038649	55050451	-	-11803	11803
21_CROP_RTN4_rs2044291_dCas9-pegRNA	RTN4	chr2	55020817	55020818	55050451	-	-29634	29634
22_CROP_SPINT2_rs17554832_dCas9-pegRNA	SPINT2	chr19	38264307	38264308	38264574	+	-267	-267
23_CROP_STAU1_rs7266044_dCas9-pegRNA	STAU1	chr20	49274118	49274119	49188334	-	85784	-85784
