Chromosome	Start	End		ID
chr1	63775072	63775294	223	Amplicon_ROR1_rs7517350_AMPL587855
chr1	161038514	161038778	265	Amplicon_TSTD1_rs10908821_AMPL587856
chr1	169288020	169288226	207	Amplicon_ATP1B1_rs10800424_AMPL587857
chr2	5692786	5692994	209	Amplicon_SOX11_control_AMPL590824
chr2	55020663	55020882	220	Amplicon_RTN4_rs2044291_AMPL587813
chr2	55038519	55038754	236	Amplicon_RTN4_rs2968787_AMPL587814
chr2	188303639	188303871	233	Amplicon_GULP1_rs6712056_AMPL587815
chr3	23743373	23743630	258	Amplicon_UBE2E1_rs7651576_AMPL587787
chr4	121696209	121696412	204	Amplicon_ANXA5_rs2306413_AMPL587788
chr6	21594731	21594946	216	Amplicon_SOX4_control_AMPL590825
chr6	131199809	131200018	210	Amplicon_EPB41L2_rs3903759_AMPL587789
chr10	95196052	95196292	241	Amplicon_PDLIM1_rs10218877_AMPL587864
chr12	96037590	96037826	237	Amplicon_LTA4H_rs3834482_AMPL587865
chr14	24141328	24141547	220	Amplicon_PSME2_rs2236352_AMPL587866
chr15	34210016	34210241	226	Amplicon_EMC4_rs6495621_AMPL587790
chr16	58734118	58734323	206	Amplicon_GOT2_rs11558171_AMPL587820
chr16	58756534	58756768	235	Amplicon_GOT2_rs727484_AMPL587821
chr17	8622850	8623055	206	Amplicon_MYH10_control_AMPL590826
chr19	1026282	1026542	261	Amplicon_CNN2_rs4807440_AMPL587791
chr19	10856023	10856257	235	Amplicon_CARM1_rs67987899_AMPL587792
chr19	38264064	38264330	267	Amplicon_SPINT2_rs17554832_AMPL587824
chr20	326630	326819	190	Amplicon_SOX12_control_AMPL590827
chr20	35539973	35540177	205	Amplicon_CPNE1_rs2104417_AMPL587794
chr20	35663862	35664120	259	Amplicon_CPNE1_rs73905926_CPNE1_rs6121020_AMPL587795
chr20	35664572	35664766	195	Amplicon_CPNE1_rs2295355_AMPL587796
chr20	44885490	44885714	225	Amplicon_YWHAB_rs6031849_AMPL587797
chr20	44909808	44910019	212	Amplicon_YWHAB_rs2072726_AMPL587798
chr20	49046104	49046336	233	Amplicon_STAU1_rs2252259_AMPL587830
chr20	49273979	49274200	222	Amplicon_STAU1_rs7266044_AMPL587831
chr20	49278394	49278645	252	Amplicon_STAU1_rs3818066_AMPL587832
chr21	44808846	44809071	226	Amplicon_COL18A1_rs35205716_AMPL590828
chr21	45406864	45407114	251	Amplicon_COL18A1_rs78667666_AMPL587799
chr22	39521529	39521768	240	Amplicon_ATF4_control_AMPL590829
