ID	Chromosome	Start	End
Actb	chr5	142903115	142906754
Actn4	chr7	28893248	28962340
Cd151	chr7	141467392	141471473
Cd74	chr18	60803848	60812652
Chd4	chr6	125095981	125130591
Cnn2	chr10	79988584	79996062
Esrrb	chr12	86361117	86521628
Gapdh	chr6	125161715	125166467
Gbx2	chr1	89927956	89931179
Klf2	chr8	72319033	72321656
Klf5	chr14	99298691	99315036
Mbd3	chr10	80392539	80399550
Mlh1	chr9	111228228	111271791
Myh10	chr11	68691559	68816632
Nanog	chr6	122707489	122714633
Nodal	chr10	61417972	61425338
Nop14	chr5	34638536	34660148
Pgk1	chrX	106187100	106203699
Pola1	chrX	93304767	93632155
Pou5f1	chr17	35506018	35510772
Rpl3	chr15	80077791	80091868
Sall4	chr2	168748332	168767943
Sox12	chr2	152393611	152398063
Sox2	chr3	34650405	34652461
Stat3	chr11	100885098	100939540
Tcf3	chr10	80409514	80433647
Tfcp2l1	chr1	118627945	118685168
Tubb2b	chr13	34126748	34130466
Xylt2	chr11	94663851	94677515
Zfp42	chr8	43295063	43306980
Rpl12	chr2	32961559	32965345
Rpl21	chr5	146832890	146837032
Ftl1	chr7	45457944	45459884
Rpl38	chr11	114668524	114672331
Gas5	chr1	161034422	161038539
Eef1b2	chr1	63176825	63180486
Ptma	chr1	86526726	86530712
Eif1	chr11	100319885	100322096
Cd63	chr10	128900989	128912822
Ptn	chr6	36714929	36810220
Eif2s2	chr2	154871410	154892935
Akr1a1	chr4	116636510	116651680
Uqcc2	chr17	27122663	27133916
Nenf	chr1	191306789	191318194
Rrbp1	chr2	143947395	144011263
Crabp1	chr9	54764748	54773110
Fubp1	chr3	152210422	152236826
Snx3	chr10	42502030	42535381
Sox4	chr13	28948919	28953713
Atf5	chr7	44812256	44816658
Zfp207	chr11	80383279	80405733
Cyth3	chr5	143622447	143710250
Ganab	chr19	8898071	8916672
Tyms	chr5	30058202	30073617
Mcfd2	chr17	87254443	87265935
Slc39a13	chr2	91061791	91070417
Zfp579	chr7	4983483	4996158
Mfn1	chr3	32529465	32579239
Kdm3b	chr18	34777047	34838660
Nup107	chr10	117750621	117792705
