ID	Chromosome	Start	End
ACTB	chr7	5526409	5527306
ACTN4	chr19	38730291	38731589
CD151	chr11	838357	839831
CD74	chr5	150401637	150401948
CHD4	chr12	6570082	6570417
CNN2	chr19	1038828	1039068
ESRRB	chr14	76500940	76501837
GAPDH	chr12	6537958	6538374
GBX2	chr2	236165236	236165579
KLF2	chr19	16327615	16328685
KLF5	chr13	73077345	73077541
MBD3	chr19	1573596	1573893
MLH1	chr3	37050549	37050846
MYH10	chr17	8474207	8474515
NANOG	chr12	7798941	7799146
NODAL	chr10	70431936	70432706
NOP14	chr4	2937933	2938324
PGK1	chrX	78126561	78129295
POLA1	chrX	24996724	24996986
POU5F1	chr6	31164337	31164540
RPL3	chr22	39312882	39313100
SALL4	chr20	51782331	51782595
SOX12	chr20	328498	330224
SOX2	chr3	181714124	181714436
STAT3	chr17	42313324	42313525
TCF3	chr19	1609291	1609544
TFCP2L1	chr2	121216587	121216812
TUBB2B	chr6	3223324	3224505
XYLT2	chr17	50360839	50363138
ZFP42	chr4	188004812	188005046
