ID	Chromosome	Start	End
ACTB	chr7	5526409	5563902
ACTN4	chr19	38647649	38731589
CD151	chr11	832887	839831
CD74	chr5	150401637	150412969
CHD4	chr12	6570082	6614524
CNN2	chr19	1026586	1039068
ESRRB	chr14	76310712	76501837
GAPDH	chr12	6534512	6538374
GBX2	chr2	236165236	236168386
KLF2	chr19	16324826	16328685
KLF5	chr13	73054976	73077541
MBD3	chr19	1573596	1592865
MLH1	chr3	36993350	37050846
MYH10	chr17	8474207	8631376
NANOG	chr12	7787794	7799146
NODAL	chr10	70431936	70447951
NOP14	chr4	2937933	2963406
PGK1	chrX	77910739	78129295
POLA1	chrX	24693873	24996986
POU5F1	chr6	31164337	31180731
RPL3	chr22	39312882	39320389
SALL4	chr20	51782331	51802521
SOX12	chr20	325552	330224
SOX2	chr3	181711925	181714436
STAT3	chr17	42313324	42388540
TCF3	chr19	1609291	1652615
TFCP2L1	chr2	121216587	121285202
TUBB2B	chr6	3223324	3231730
XYLT2	chr17	50346126	50363138
ZFP42	chr4	187995771	188005046
RPL12	chr9	127447674	127451406
RPL21	chr13	27251362	27256691
RPL38	chr17	74203582	74210655
GAS5	chr1	173858559	173868882
EEF1B2	chr2	206159585	206162928
PTMA	chr2	231706895	231713551
EIF1	chr17	41688885	41692668
CD63	chr12	55725323	55729707
PTN	chr7	137227341	137343774
EIF2S2	chr20	34088309	34112243
AKR1A1	chr1	45550543	45570049
UQCC2	chr6	33694293	33711727
NENF	chr1	212432920	212446379
RRBP1	chr20	17613678	17682295
CRABP1	chr15	78340353	78348225
FUBP1	chr1	77944055	77979110
SNX3	chr6	108211222	108261246
SOX4	chr6	21593751	21598619
ATF5	chr19	49928702	49933935
CYTH3	chr7	6161776	6272644
GANAB	chr11	62624826	62646726
TYMS	chr18	657653	673578
MCFD2	chr2	46901870	46941855
SLC39A13	chr11	47407132	47416496
MFN1	chr3	179347709	179394936
KDM3B	chr5	138352685	138437028
NUP107	chr12	68686951	68745809
FTL	chr19	48965309	48966879
ZNF207	chr17	32350132	32381885
ZNF579	chr19	55576774	55580848
