ID	Chromosome	Start	End
ACTN4	chr19	38730291	38730311
AKAP7	chr6	131283252	131283274
ANXA5	chr4	121668213	121668234
ATF4	chr22	39522412	39522432
ATP1B1	chr1	169134762	169134787
CARM1	chr19	10922814	10922834
CNN2	chr19	1038828	1038848
COL18A1	chr21	45513522	45513542
CPNE1	chr20	35626308	35626328
DDX27	chr20	49243823	49243843
DNMT3B	chr20	32809133	32809154
EMC4	chr15	34229917	34229936
EMC9	chr14	24139233	24139253
EPB41L2	chr6	130839548	130839568
ERGIC3	chr20	35557066	35557086
ESRRB	chr14	76500940	76500960
GBX2	chr2	236165559	236165579
GOT2	chr16	58707350	58707370
GULP1	chr2	188595703	188595729
KATNBL1	chr15	34140896	34140919
KLF5	chr13	73077344	73077369
LTA4H	chr12	96001063	96001083
MYH10	chr17	8474494	8474515
NANOG	chr12	7798941	7798961
NME7	chr1	169132741	169132764
PDLIM1	chr10	95237853	95237873
PHF20	chr20	35950028	35950048
POU5F1	chr6	31164630	31164650
PSME1	chr14	24138714	24138734
PSME2	chr14	24143550	24143570
RBM12	chr20	35649198	35649222
RBM39	chr20	35703811	35703832
ROMO1	chr20	35700789	35700809
ROR1	chr1	64181192	64181217
RTN4	chr2	54972424	54972445
SOX11	chr2	5701056	5701077
SOX12	chr20	328498	328518
SOX2	chr3	181714124	181714145
SOX4	chr6	21596759	21596779
SPINT2	chr19	38292215	38292235
STAT3	chr17	42313601	42313621
STAU1	chr20	49113615	49113635
TCF3	chr19	1609524	1609544
TSTD1	chr1	161037801	161037821
TUBB2B	chr6	3224487	3224509
UBE2E1	chr3	23891071	23891093
YWHAB	chr20	44908222	44908242
