ID	Chromosome	Start	End
ACTN4	chr19	38730291	38731589
CNN2	chr19	1038828	1039068
ESRRB	chr14	76500940	76501837
GBX2	chr2	236165236	236165579
KLF5	chr13	73077345	73077541
MYH10	chr17	8474207	8474515
NANOG	chr12	7798941	7799146
POU5F1	chr6	31164337	31164540
SOX12	chr20	328498	330224
SOX2	chr3	181714124	181714436
STAT3	chr17	42313324	42313525
TCF3	chr19	1609291	1609544
TUBB2B	chr6	3223324	3224505
UCHL1	chr4	41268215	41268455
HNRNPA0	chr5	137745651	137751842
CALM3	chr19	46610508	46610782
TPT1	chr13	45333471	45337121
PPP1CC	chr12	110719680	110720098
MTCH1	chr6	36965807	36968453
BMS1	chr10	42831121	42834937
PPIA	chr7	44802895	44824564
GABPB1	chr15	50275389	50277471
GFPT1	chr2	69319780	69319998
COMMD5	chr8	144841042	144850442
TMEM267	chr5	43444252	43444980
EPB41L4B	chr9	109171974	109239939
RASSF1	chr3	50329782	50330100
HAUS3	chr4	2078998	2228650
HCFC1R1	chr16	3022625	3022886
DHX8	chr17	43526529	43610338
CD81	chr11	2397180	2397802
TPX2	chr20	31801579	31801805
SALL2	chr14	21521080	21521304
SSRP1	chr11	57325986	57326201
RPS23	chr5	82273320	82276297
CHCHD2	chr7	56101573	56102874
RPL27	chr17	42999973	43002959
UQCRH	chr1	46310289	46316776
MDH2	chr7	76066303	76067508
NDUFS6	chr5	1814392	1816048
DPH2	chr1	43973118	43973369
RCOR2	chr11	63911230	63911507
SELENOF	chr1	86862445	86863044
ANKLE2	chr12	132725503	132725886
NME3	chr16	1770320	1770531
RPL39L	chr3	187120948	187121246
BZW1	chr2	200823531	200827338
GTF3C5	chr9	133058257	133058503
MGST3	chr1	165655867	165661796
TMED2	chr12	123597875	123598582
PCCB	chr3	136337425	136337896
IGSF9	chr1	159927039	159927231
SNAPC2	chr19	7922971	7923250
BCKDHB	chr6	80346033	80346270
DLEU7	chr13	50519364	50712181
KIF7	chr15	89608789	89628187
PLP2	chrX	49174889	49175235
NAA30	chr14	57412472	57415906
TMED5	chr1	93149742	93152142
COG2	chr1	230693748	230693982
NASP	chr1	45617472	45618904
RPL13A	chr19	49492078	49493057
EIF5B	chr2	99361802	99401326
APP	chr21	25880550	25880810
LDHA	chr11	18407553	18408425
COX7C	chr5	86619417	86620962
EEF1D	chr8	143579697	143580027
PPDPF	chr20	63521990	63522206
FBL	chr19	39834458	39834681
VCP	chr9	35053928	35056289
TOMM7	chr7	22812628	22817448
ZC3H15	chr2	186509028	186509361
PTTG1	chr5	160427732	160428739
YWHAE	chr17	1344275	1344704
HNRNPM	chr19	8488816	8489114
ATP5MC2	chr12	53632726	53665411
RPL24	chr3	101681091	101682439
SNRPF	chr12	95865346	95903828
SRP72	chr4	56500588	56503681
PRPF40A	chr2	152651593	152655587
PTMA	chr2	231713203	231713551
SRRM2	chr16	2771459	2772538
SFRP2	chr4	153780591	153780884
JPT1	chr17	75135248	75135531
ATP1B3	chr3	141925901	141926549
CCT2	chr12	69601333	69601570
JARID2	chr6	15521805	15522042
PPP4R3A	chr14	91457508	91457818
ANXA11	chr10	80150889	80152938
SENP6	chr6	75715663	75718281
ARMC6	chr19	19057849	19060311
CSTF1	chr20	56404957	56406362
B3GNT7	chr2	231400900	231401164
HELLS	chr10	94613620	94613905
CFAP20	chr16	58113592	58113890
CSNK1E	chr22	38290691	38291034
IGF2BP1	chr17	49055927	49056145
TRIM56	chr7	101097708	101097967
