seqnames	start	end	width	strand	name	count_overlaps	targets
chr2	4898464	4898722	259	*	AMPL521569	1	rs6542647
chr3	38552392	38552626	235	*	AMPL521537	1	rs7373779
chr3	38579568	38579819	252	*	AMPL521538	1	rs41312411
chr3	38616219	38616433	215	*	AMPL521539	1	rs11710077
chr3	38641393	38641653	261	*	AMPL521540	1	rs13097780
chr3	38725688	38725918	231	*	AMPL521541	1	rs6801957
chr3	158097763	158098022	260	*	AMPL521542	1	rs138912749
chr5	71956466	71956672	207	*	AMPL521576	1	rs1217752
chr5	173235313	173235552	240	*	AMPL521543	1	rs118026695
chr6	3227760	3227950	191	*	AMPL533398	1	chr6:3227969-3228084
chr6	30888015	30888230	216	*	AMPL533399	1	chr6:30855978-30855983
chr6	30987806	30988029	224	*	AMPL533400	1	chr6:30955745-30955755
chr6	132714033	132714273	241	*	AMPL521544	1	rs4897612
chr6	132714560	132714830	271	*	AMPL521545	1	rs2050153
chr6	133875359	133875565	207	*	AMPL521546	1	rs12524865
chr6	133893298	133893522	225	*	AMPL521547	1	rs12190287
chr7	31017771	31017992	222	*	AMPL521582	1	rs733317
chr9	22071850	22072078	229	*	AMPL533406	1	rs12555547
chr9	22096027	22096237	211	*	AMPL521548	1	rs10757274
chr9	22114969	22115205	237	*	AMPL521549	1	rs2383206
chr9	22130250	22130461	212	*	AMPL521550	1	rs10965244
chr10	22927850	22928098	249	*	AMPL533410	1	chr10:23216877-23216995
chr10	130548666	130548904	239	*	AMPL521586	1	rs11017328
chr11	63145339	63145581	243	*	AMPL533412	1	rs4366490
chr12	6423590	6423801	212	*	AMPL533413	1	chr12:6532888-6532944
chr12	114266566	114266772	207	*	AMPL533414	1	chr12:114704515-114704516
chr12	114354349	114354554	206	*	AMPL521552	1	rs6489956
chr14	62695784	62696016	233	*	AMPL521589	1	rs10129320
