Chromosome	Start	End	ID	ID_full	Start_Amp	End_Amp
chr1	1375338	1375564	AMPL779105	NOEG_AMPL779105_PLS	1	227
chr1	6240271	6240515	AMPL779107	NOEG_AMPL779107_dELS	1	245
chr1	53430900	53431108	AMPL779123	NOEG_AMPL779123_dELS	1	209
chr1	54488080	54488340	AMPL779124	NOEG_AMPL779124_dELS	1	261
chr1	95142661	95142916	AMPL777041	NOEG_AMPL777041_DNase_only	1	256
chr1	114037521	114037744	AMPL777044	NOEG_AMPL777044_dELS	1	224
chr1	155173262	155173493	AMPL779134	NOEG_AMPL779134_PLS	1	232
chr1	156707709	156707908	AMPL777053	NOEG_AMPL777053_dELS	1	200
chr1	165630575	165630774	AMPL779143	NOEG_AMPL779143_pELS	1	200
chr1	197911551	197911745	AMPL777061	NOEG_AMPL777061_H3K4	1	195
chr1	205122120	205122350	AMPL777067	NOEG_AMPL777067_pELS	1	231
chr1	248873804	248874008	AMPL777083	NOEG_AMPL777083_dELS	1	205
chr2	290179	290413	AMPL779164	NOEG_AMPL779164_H3K4	1	235
chr2	7431065	7431262	AMPL777087	NOEG_AMPL777087_dELS	1	198
chr2	42132870	42133100	AMPL779172	NOEG_AMPL779172_DNase_only	1	231
chr2	45014508	45014713	AMPL779173	NOEG_AMPL779173_H3K4	1	206
chr2	58596486	58596690	AMPL779177	NOEG_AMPL779177_low_DNase	1	205
chr2	70329050	70329287	AMPL777100	NOEG_AMPL777100_DNase_only	1	238
chr2	152176001	152176214	AMPL779192	NOEG_AMPL779192_PLS	1	214
chr2	180057002	180057213	AMPL779199	NOEG_AMPL779199_dELS	1	212
chr2	197804221	197804458	AMPL777118	NOEG_AMPL777118_PLS	1	238
chr2	211868318	211868522	AMPL779205	NOEG_AMPL779205_low_DNase	1	205
chr2	219965351	219965556	AMPL779207	NOEG_AMPL779207_DNase_only	1	206
chr3	11118418	11118627	AMPL779213	NOEG_AMPL779213_low_DNase	1	210
chr3	13283504	13283710	AMPL779214	NOEG_AMPL779214_H3K4	1	207
chr3	63400331	63400567	AMPL779220	NOEG_AMPL779220_low_DNase	1	237
chr3	106913422	106913643	AMPL779222	NOEG_AMPL779222_dELS	1	222
chr3	161770752	161770958	AMPL779233	NOEG_AMPL779233_low_DNase	1	207
chr3	174767988	174768192	AMPL779234	NOEG_AMPL779234_low_DNase	1	205
chr3	194089626	194089860	AMPL779237	NOEG_AMPL779237_DNase_only	1	235
chr4	4866073	4866306	AMPL779238	NOEG_AMPL779238_H3K4	1	234
chr4	18022233	18022430	AMPL779241	NOEG_AMPL779241_pELS	1	198
chr4	80213385	80213624	AMPL779246	NOEG_AMPL779246_low_DNase	1	240
chr4	97042653	97042864	AMPL779249	NOEG_AMPL779249_low_DNase	1	212
chr4	184330050	184330258	AMPL779259	NOEG_AMPL779259_low_DNase	1	209
chr5	5394435	5394674	AMPL779264	NOEG_AMPL779264_DNase_only	1	240
chr5	56814291	56814540	AMPL779270	NOEG_AMPL779270_H3K4	1	250
chr5	82910653	82910858	AMPL779277	NOEG_AMPL779277_low_DNase	1	206
chr5	97098973	97099214	AMPL779280	NOEG_AMPL779280_low_DNase	1	242
chr5	126057221	126057482	AMPL779283	NOEG_AMPL779283_dELS	1	262
chr5	147869238	147869481	AMPL777214	NOEG_AMPL777214_pELS	1	244
chr6	13328674	13328918	AMPL777232	NOEG_AMPL777232_pELS	1	245
chr6	28838376	28838601	AMPL777237	NOEG_AMPL777237_pELS	1	226
chr6	28896752	28897004	AMPL777239	NOEG_AMPL777239_pELS	1	253
chr6	31197855	31198099	AMPL779334	NOEG_AMPL779334_PLS	1	245
chr6	32255688	32255887	AMPL777251	NOEG_AMPL777251_PLS	1	200
chr6	90414096	90414300	AMPL779350	NOEG_AMPL779350_DNase_only	1	205
chr6	137278014	137278221	AMPL779358	NOEG_AMPL779358_DNase_only	1	208
chr6	164096424	164096663	AMPL779362	NOEG_AMPL779362_low_DNase	1	240
chr6	168332229	168332439	AMPL779365	NOEG_AMPL779365_DNase_only	1	211
chr6	170245394	170245616	AMPL779367	NOEG_AMPL779367_low_DNase	1	223
chr7	5822882	5823117	AMPL777281	NOEG_AMPL777281_PLS	1	236
chr7	66844924	66845163	AMPL777295	NOEG_AMPL777295_PLS	1	240
chr7	95772214	95772413	AMPL779388	NOEG_AMPL779388_PLS	1	200
chr7	157432818	157433012	AMPL777308	NOEG_AMPL777308_DNase_only	1	195
chr8	3077143	3077360	AMPL779400	NOEG_AMPL779400_low_DNase	1	218
chr8	8701515	8701773	AMPL779402	NOEG_AMPL779402_PLS	1	259
chr8	17922615	17922866	AMPL777310	NOEG_AMPL777310_PLS	1	252
chr8	23785866	23786078	AMPL779407	NOEG_AMPL779407_dELS	1	213
chr8	25458674	25458903	AMPL777312	NOEG_AMPL777312_pELS	1	230
chr8	60653508	60653760	AMPL779411	NOEG_AMPL779411_PLS	1	253
chr8	66114449	66114662	AMPL777320	NOEG_AMPL777320_pELS	1	214
chr8	66428379	66428632	AMPL777322	NOEG_AMPL777322_pELS	1	254
chr8	73353446	73353668	AMPL779417	NOEG_AMPL779417_low_DNase	1	223
chr8	94020039	94020263	AMPL779420	NOEG_AMPL779420_low_DNase	1	225
chr8	118738233	118738440	AMPL779426	NOEG_AMPL779426_DNase_only	1	208
chr8	124474381	124474614	AMPL777331	NOEG_AMPL777331_PLS	1	234
chr8	129983862	129984092	AMPL777332	NOEG_AMPL777332_dELS	1	231
chr8	144508232	144508437	AMPL779431	NOEG_AMPL779431_pELS	1	206
chr9	35943609	35943848	AMPL779440	NOEG_AMPL779440_low_DNase	1	240
chr9	70258154	70258361	AMPL779443	NOEG_AMPL779443_pELS	1	208
chr9	99159697	99159940	AMPL779450	NOEG_AMPL779450_DNase_only	1	244
chr9	110521111	110521329	AMPL779453	NOEG_AMPL779453_low_DNase	1	219
chr9	133003551	133003792	AMPL779456	NOEG_AMPL779456_DNase_only	1	242
chr9	136326301	136326523	AMPL779458	NOEG_AMPL779458_DNase_only	1	223
chr10	29159763	29159966	AMPL777362	NOEG_AMPL777362_dELS	1	204
chr10	42932574	42932778	AMPL779467	NOEG_AMPL779467_H3K4	1	205
chr10	44865095	44865327	AMPL779468	NOEG_AMPL779468_H3K4	1	233
chr10	49679297	49679511	AMPL779470	NOEG_AMPL779470_PLS	1	215
chr10	60762443	60762674	AMPL777369	NOEG_AMPL777369_dELS	1	232
chr10	73785166	73785400	AMPL779475	NOEG_AMPL779475_PLS	1	235
chr10	73785407	73785671	AMPL779476	NOEG_AMPL779476_PLS	1	265
chr10	89208234	89208462	AMPL777375	NOEG_AMPL777375_H3K4	1	229
chr10	102743714	102743961	AMPL779480	NOEG_AMPL779480_PLS	1	248
