ID	Chromosome	Start	End
ACTB	chr7	5526409	5527304
ACTG1	chr17	81509413	81510265
ACTR3	chr2	113958309	113962596
ACY3	chr11	67642555	67642895
AHNAK	chr11	62433542	62516158
AICDA	chr12	8602155	8602656
AIM2	chr1	159061599	159063612
AKAP12	chr6	151357840	151358559
ANG	chr14	20693861	20698971
ANP32B	chr9	98015574	98015943
APOD	chr3	195568705	195569005
ARL6IP1	chr16	18791669	18792033
ASPM	chr1	197084121	197086847
ATF5	chr19	49933577	49933935
ATM	chr11	108368731	108369102
AURKA	chr20	56369389	56369733
AURKB	chr17	8204733	8205216
BACH2	chr6	89926528	89926789
BATF	chr14	75546631	75546993
BATF3	chr1	212686417	212686795
BCL2	chr18	63123346	63127086
BCL2A1	chr15	79960892	79967656
BCL6	chr3	187721377	187721649
BIRC5	chr17	78224406	78225636
BLK	chr8	11564213	11564599
BLNK	chr10	96189171	96191591
BTG1	chr12	92140278	92143430
BTG2	chr1	203309281	203309602
BTK	chrX	101349338	101349766
C16orf74	chr16	85690084	85707910
CAMK1	chr3	9757347	9757612
CCDC144A	chr17	16777696	16777881
CCL17	chr16	57415788	57416063
CCL22	chr16	57365853	57366189
CCL4L2	chr17	36212566	36212878
CCNA2	chr4	121816444	121816792
CCNB1	chr5	69177284	69178245
CCNB2	chr15	59124722	59125045
CCR6	chr6	167138635	167139141
CD1C	chr1	158292868	158294774
CD27	chr12	6451444	6451718
CD38	chr4	15848714	15853232
CD40	chr20	46129171	46129863
CD70	chr19	6583183	6586154
CD72	chr9	35609982	35610289
CD74	chr5	150401637	150401948
CD83	chr6	14136390	14136918
CD9	chr12	6238013	6238271
CDC20	chr1	43361236	43363203
CDCA2	chr8	25503509	25507911
CDCA3	chr12	6844793	6845061
CDCA8	chr1	37709422	37709719
CDK1	chr10	60794581	60794852
CDKN1C	chr11	2883213	2884008
CDKN3	chr14	54417924	54420218
CENPA	chr2	26794264	26801067
CENPE	chr4	103105349	103106249
CENPF	chr1	214646475	214664571
CEP55	chr10	93528725	93529092
CETP	chr16	56981669	56983845
CFL1	chr11	65823022	65855162
CFLAR	chr2	201171396	201176687
CH25H	chr10	89205629	89206249
CHI3L2	chr1	111242250	111243440
CKS2	chr9	89315254	89316703
CORO1A	chr16	30188745	30189076
COTL1	chr16	84565596	84565925
CREBBP	chr16	3725054	3725393
CRIP1	chr14	105488379	105488947
CXCL10	chr4	76021118	76021486
CXCL9	chr4	76001275	76001816
CXCR3	chrX	71615916	71616285
CXCR4	chr2	136114349	136114609
CXCR5	chr11	118896306	118897787
CYTOR	chr2	87606933	87636740
DCN	chr12	91140484	91145641
DEPDC1	chr1	68474152	68481460
DEPP1	chr10	44970981	44976535
DERL3	chr22	23834503	23834770
DLGAP5	chr14	55148112	55148604
DTX1	chr12	113097653	113098028
DUSP2	chr2	96143169	96143450
EBF1	chr5	158695916	158696166
EBI3	chr19	4237220	4237528
EGR1	chr5	138468982	138469303
EMP3	chr19	48329433	48330553
EP300	chr22	41179789	41180077
ETS1	chr11	128458761	128459122
EVA1B	chr1	36322030	36322318
FAM111B	chr11	59124535	59127412
FAS	chr10	89015419	89029605
FAU	chr11	65120630	65120912
FBP1	chr9	94603133	94603428
FCER2	chr19	7688758	7689049
FCMR	chr1	206903317	206904637
FCRL2	chr1	157745733	157746062
FKBP11	chr12	48921518	48922234
FOXP1	chr3	70954693	70956124
FSTL3	chr19	683127	683392
G0S2	chr1	209676038	209676390
GADD45B	chr19	2478005	2478259
GAPDH	chr12	6537926	6538374
GBP1	chr1	89051882	89052688
GBP4	chr1	89181144	89182094
GNG11	chr7	93926218	93928610
GNG8	chr19	46633953	46634616
GPR183	chr13	99294539	99294825
GTSE1	chr22	46330458	46330810
H1-0	chr22	37807088	37807432
H1-2	chr6	26055740	26056076
H1-3	chr6	26234212	26234842
H1-4	chr6	26156561	26157115
H1-5	chr6	27866792	27867315
H2AC12	chr6	27147237	27147562
H2AC16	chr6	27865398	27865798
H2AC20	chr1	149887135	149887411
H2AZ1	chr4	99948086	99948415
H2AZ2	chr7	44826791	44827130
H2BC10	chr6	26273074	26273412
H2BC17	chr6	27893556	27893891
H2BC21	chr1	149884459	149884783
H2BC4	chr6	26114873	26123852
H2BC9	chr6	26251708	26252075
H3C2	chr6	26031589	26031901
H3C4	chr6	26196784	26197144
H3C7	chr6	26250142	26250450
H3C8	chr6	26270918	26271273
H4C3	chr6	26104028	26104337
HLA-DQB1	chr6	32659467	32659749
HMGB1	chr13	30456704	30461308
HMGB2	chr4	173331376	173332057
HMGN2	chr1	26475573	26476642
HMMR	chr5	163469718	163491941
HSP90B1	chr12	103947363	103953931
HSPA1A	chr6	31817564	31817946
